date,price
2024-03-01,39.49
2024-03-04,41.14
2024-03-05,41.14
2024-03-06,39.49
2024-03-07,39.49
2024-03-08,41.59
2024-03-11,41.14
2024-03-12,41.14
2024-03-13,41.59
2024-03-14,41.59
2024-03-15,41.59
2024-03-18,41.14
2024-03-19,41.14
2024-03-20,41.59
2024-03-21,41.59
2024-03-22,41.59
2024-03-25,41.14
2024-03-26,41.14
2024-03-27,41.59
2024-03-28,41.59
2024-03-29,41.59
2024-04-01,41.14
2024-04-02,41.14
2024-04-03,39.49
2024-04-04,39.49
2024-04-05,39.49
2024-04-08,41.14
2024-04-09,41.14
2024-04-10,41.59
2024-04-11,41.59
2024-04-12,41.59
2024-04-15,41.14
2024-04-16,41.14
2024-04-17,41.59
2024-04-18,41.59
2024-04-19,41.59
2024-04-22,41.14
2024-04-23,41.14
2024-04-24,41.59
2024-04-25,41.59
2024-04-26,41.59
2024-04-29,41.14
2024-04-30,41.14
2024-05-01,39.49
2024-05-02,39.49
2024-05-03,39.49
2024-05-06,41.14
2024-05-07,41.14
2024-05-08,41.59
2024-05-09,41.59
2024-05-10,41.59
2024-05-13,41.14
2024-05-14,41.14
2024-05-15,41.59
2024-05-16,41.59
2024-05-17,41.59
2024-05-20,41.14
2024-05-21,41.14
2024-05-22,41.59
2024-05-23,41.59
2024-05-24,41.59
2024-05-27,41.14
2024-05-28,41.14
2024-05-29,41.59
2024-05-30,41.59
2024-05-31,41.59
2024-06-03,41.14
2024-06-04,41.14
2024-06-05,39.49
2024-06-06,39.49
2024-06-07,39.49
2024-06-10,41.14
2024-06-11,41.14
2024-06-12,41.59
2024-06-13,41.59
2024-06-14,41.59
2024-06-17,41.14
2024-06-18,41.14
2024-06-19,41.59
2024-06-20,41.59
2024-06-21,41.59
2024-06-24,41.14
2024-06-25,41.14
2024-06-26,41.59
2024-06-27,41.59
2024-06-28,41.59
