Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %
9.02.2018;4,23;4,22;4,24;4,08;56,21M;0,24%
12.02.2018;4,18;4,29;4,29;4,15;25,97M;-1,18%
13.02.2018;4,15;4,19;4,24;4,15;24,35M;-0,72%
14.02.2018;4,11;4,18;4,2;4,1;12,24M;-0,96%
15.02.2018;4,22;4,14;4,22;4,13;20,52M;2,68%
16.02.2018;4,19;4,23;4,23;4,17;10,49M;-0,71%
19.02.2018;4,33;4,2;4,36;4,15;32,42M;3,34%
20.02.2018;4,36;4,32;4,47;4,29;31,52M;0,69%
21.02.2018;4,45;4,45;4,47;4,33;11,18M;2,06%
22.02.2018;4,61;4,56;4,68;4,47;70,09M;3,60%
23.02.2018;4,61;4,64;4,65;4,51;20,40M;0,00%
26.02.2018;4,58;4,62;4,64;4,56;14,88M;-0,65%
27.02.2018;4,51;4,58;4,59;4,51;9,70M;-1,53%
28.02.2018;4,48;4,49;4,56;4,46;7,56M;-0,67%
1.03.2018;4,55;4,47;4,56;4,46;14,79M;1,56%
2.03.2018;4,56;4,57;4,59;4,53;12,91M;0,22%
5.03.2018;4,49;4,57;4,58;4,45;10,86M;-1,54%
6.03.2018;4,49;4,5;4,54;4,47;5,16M;0,00%
7.03.2018;4,47;4,49;4,51;4,47;4,82M;-0,45%
8.03.2018;4,46;4,48;4,49;4,45;2,88M;-0,22%
9.03.2018;4,45;4,47;4,52;4,44;4,02M;-0,22%
12.03.2018;4,47;4,47;4,49;4,42;4,43M;0,45%
13.03.2018;4,47;4,48;4,48;4,42;6,58M;0,00%
14.03.2018;4,57;4,47;4,58;4,47;16,82M;2,24%
15.03.2018;4,6;4,58;4,67;4,56;19,21M;0,66%
16.03.2018;4,65;4,61;4,69;4,56;18,43M;1,09%
19.03.2018;4,61;4,7;4,72;4,59;24,16M;-0,86%
20.03.2018;4,63;4,65;4,69;4,61;13,35M;0,43%
21.03.2018;4,6;4,63;4,64;4,58;12,40M;-0,65%
22.03.2018;4,57;4,62;4,62;4,56;5,34M;-0,65%
23.03.2018;4,55;4,53;4,57;4,49;4,51M;-0,44%
