Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %
2.01.2018;3,672;3,74;3,74;3,672;3,85M;-1,66%
3.01.2018;3,672;3,684;3,709;3,672;1,89M;0,00%
4.01.2018;3,653;3,684;3,709;3,647;1,94M;-0,52%
5.01.2018;3,672;3,666;3,715;3,659;2,81M;0,52%
8.01.2018;3,69;3,684;3,703;3,684;1,30M;0,49%
9.01.2018;3,672;3,69;3,703;3,666;1,42M;-0,49%
10.01.2018;3,684;3,678;3,684;3,641;1,84M;0,33%
11.01.2018;3,641;3,69;3,696;3,635;980,98K;-1,17%
12.01.2018;3,585;3,641;3,653;3,585;2,06M;-1,54%
15.01.2018;3,486;3,579;3,597;3,486;1,07M;-2,76%
16.01.2018;3,517;3,467;3,535;3,461;1,14M;0,89%
17.01.2018;3,585;3,653;3,777;3,579;7,87M;1,93%
18.01.2018;3,548;3,616;3,622;3,548;3,62M;-1,03%
19.01.2018;3,523;3,542;3,56;3,498;4,01M;-0,70%
22.01.2018;3,498;3,517;3,529;3,486;3,65M;-0,71%
23.01.2018;3,535;3,517;3,56;3,517;3,55M;1,06%
24.01.2018;3,56;3,56;3,591;3,554;3,74M;0,71%
25.01.2018;3,529;3,573;3,579;3,529;1,89M;-0,87%
26.01.2018;3,579;3,529;3,622;3,529;4,61M;1,42%
29.01.2018;3,628;3,604;3,641;3,597;1,95M;1,37%
30.01.2018;3,505;3,628;3,666;3,505;7,08M;-3,39%
31.01.2018;3,498;3,517;3,554;3,474;6,64M;-0,20%
1.02.2018;3,529;3,517;3,542;3,511;2,94M;0,89%
2.02.2018;3,486;3,535;3,542;3,474;2,95M;-1,22%
5.02.2018;3,467;3,474;3,498;3,467;2,58M;-0,55%
6.02.2018;3,393;3,393;3,486;3,344;5,44M;-2,13%
7.02.2018;3,393;3,424;3,455;3,393;3,68M;0,00%
8.02.2018;3,498;3,405;3,529;3,399;5,63M;3,09%
9.02.2018;3,43;3,474;3,486;3,412;2,85M;-1,94%
12.02.2018;3,436;3,449;3,48;3,436;2,36M;0,17%
13.02.2018;3,387;3,424;3,455;3,387;1,82M;-1,43%
