date,price
2024-03-01,61.65
2024-03-04,61.62
2024-03-05,61.12
2024-03-06,61.07
2024-03-07,61.36
2024-03-08,60.76
2024-03-11,61.56
2024-03-12,61.51
2024-03-13,61.61
2024-03-14,61.27
2024-03-15,61.72
2024-03-18,61.78
2024-03-19,61.78
2024-03-20,61.82
2024-03-21,62.04
2024-03-22,61.99
2024-03-25,61.87
2024-03-26,62.03
2024-03-27,61.70
2024-03-28,61.35
2024-03-29,61.54
2024-04-01,61.55
2024-04-02,62.01
2024-04-03,62.05
2024-04-04,62.07
2024-04-05,61.97
2024-04-08,62.20
2024-04-09,62.39
2024-04-10,62.38
2024-04-11,62.42
2024-04-12,62.38
2024-04-15,62.01
2024-04-16,61.91
2024-04-17,61.76
2024-04-18,61.50
2024-04-19,61.76
2024-04-22,61.44
2024-04-23,61.44
2024-04-24,61.39
2024-04-25,60.88
2024-04-26,60.88
2024-04-29,60.78
2024-04-30,60.78
2024-05-01,61.05
2024-05-02,61.24
2024-05-03,60.91
2024-05-06,60.96
2024-05-07,61.35
2024-05-08,60.96
2024-05-09,61.31
2024-05-10,60.97
2024-05-13,61.03
2024-05-14,61.03
2024-05-15,60.97
2024-05-16,60.97
2024-05-17,60.97
2024-05-20,61.03
2024-05-21,61.03
2024-05-22,60.97
2024-05-23,60.97
2024-05-24,60.97
2024-05-27,60.70
2024-05-28,60.70
2024-05-29,60.65
2024-05-30,60.65
2024-05-31,60.83
2024-06-03,61.10
2024-06-04,61.10
2024-06-05,61.05
2024-06-06,61.05
2024-06-07,61.11
2024-06-10,61.17
2024-06-11,61.17
2024-06-12,61.12
2024-06-13,61.11
2024-06-14,61.11
2024-06-17,61.16
2024-06-18,61.16
2024-06-19,60.09
2024-06-20,60.09
2024-06-21,61.11
2024-06-24,60.15
2024-06-25,59.03
2024-06-26,59.85
2024-06-27,59.69
2024-06-28,59.69
