date,price
2024-03-01,58.09
2024-03-04,57.46
2024-03-05,58.61
2024-03-06,60.05
2024-03-07,59.02
2024-03-08,58.71
2024-03-11,59.79
2024-03-12,60.01
2024-03-13,60.12
2024-03-14,59.50
2024-03-15,59.08
2024-03-18,58.92
2024-03-19,59.44
2024-03-20,60.20
2024-03-21,60.07
2024-03-22,60.82
2024-03-25,60.01
2024-03-26,60.79
2024-03-27,61.18
2024-03-28,59.70
2024-03-29,60.04
2024-04-01,57.47
2024-04-02,57.51
2024-04-03,57.58
2024-04-04,57.36
2024-04-05,57.61
2024-04-08,59.57
2024-04-09,59.60
2024-04-10,59.65
2024-04-11,59.77
2024-04-12,59.71
2024-04-15,60.59
2024-04-16,59.26
2024-04-17,59.29
2024-04-18,59.40
2024-04-19,59.38
2024-04-22,59.61
2024-04-23,59.84
2024-04-24,59.86
2024-04-25,59.88
2024-04-26,59.85
2024-04-29,59.55
2024-04-30,59.76
2024-05-01,57.32
2024-05-02,57.29
2024-05-03,57.59
2024-05-06,59.25
2024-05-07,59.24
2024-05-08,58.00
2024-05-09,60.02
2024-05-10,60.06
2024-05-13,59.21
2024-05-14,59.30
2024-05-15,59.31
2024-05-16,59.29
2024-05-17,59.36
2024-05-20,59.76
2024-05-21,59.68
2024-05-22,59.77
2024-05-23,60.59
2024-05-24,59.77
2024-05-27,59.53
2024-05-28,59.61
2024-05-29,59.64
2024-05-30,59.63
2024-05-31,59.72
2024-06-03,57.80
2024-06-04,57.94
2024-06-05,57.15
2024-06-06,59.97
2024-06-07,59.99
2024-06-10,58.98
2024-06-11,59.13
2024-06-12,57.58
2024-06-13,59.94
2024-06-14,59.24
2024-06-17,59.86
2024-06-18,60.01
2024-06-19,60.03
2024-06-20,60.49
2024-06-21,60.54
2024-06-24,60.34
2024-06-25,60.45
2024-06-26,60.49
2024-06-27,58.14
2024-06-28,60.48
