Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %
6.09.2021;5,99;5,99;5,99;5,99;143,55K;10,00%
7.09.2021;6,59;6,59;6,59;6,59;340,74K;10,00%
8.09.2021;7,25;7,25;7,25;7,25;1,64M;9,99%
9.09.2021;7,97;7,97;7,97;7,97;9,14M;9,97%
10.09.2021;8,77;8,5;8,77;8,45;6,35M;10,00%
13.09.2021;9,65;9,65;9,65;9,65;921,78K;9,99%
14.09.2021;10,61;10,61;10,61;10,61;620,42K;9,96%
15.09.2021;11,67;11,67;11,67;9,81;44,84M;9,99%
16.09.2021;12,83;12,83;12,83;12,13;17,92M;9,93%
17.09.2021;12,73;13,33;13,84;12,17;39,51M;-0,77%
20.09.2021;12,38;13,11;13,12;11,89;12,26M;-2,72%
21.09.2021;13,62;12,75;13,62;12,12;13,14M;10,00%
22.09.2021;14,98;14,98;14,98;14,98;1,26M;10,00%
23.09.2021;16,48;15,74;16,48;15,35;12,53M;10,00%
24.09.2021;18,13;17,22;18,13;16,84;9,10M;9,99%
27.09.2021;19,93;18;19,93;17,11;3,44M;9,97%
28.09.2021;21,93;20,29;21,93;20,18;1,24M;10,00%
29.09.2021;21,06;24,12;24,12;19,74;5,12M;-3,95%
30.09.2021;19,09;20,8;22,04;18,96;3,48M;-9,35%
1.10.2021;17,19;18,32;19,34;17,19;3,51M;-9,99%
4.10.2021;18,89;16,84;18,89;15,85;4,08M;9,94%
5.10.2021;20,07;18,81;20,76;18,25;3,80M;6,23%
6.10.2021;20,55;20,06;20,8;19,2;2,25M;2,41%
7.10.2021;22,61;21,79;22,61;21,16;2,67M;10,00%
8.10.2021;23,5;23,21;24,74;22,06;3,23M;3,94%
11.10.2021;21,16;23,25;24,02;21,16;2,88M;-9,96%
12.10.2021;19,05;20,68;20,85;19,05;6,48M;-9,95%
13.10.2021;20,03;18,47;20,91;17,88;18,92M;5,13%
14.10.2021;19,07;20,01;20,75;19,07;6,98M;-4,82%
15.10.2021;17,36;19,04;19,79;17,26;16,64M;-8,96%
18.10.2021;17,79;17,36;18,77;16,65;9,88M;2,50%
19.10.2021;16,96;17,95;18,31;16,67;7,39M;-4,66%
20.10.2021;16,42;16,97;17,46;16,16;13,64M;-3,21%
21.10.2021;14,78;16,34;16,42;14,78;13,10M;-9,95%
22.10.2021;16,26;14,77;16,26;14,15;3,96M;9,97%
25.10.2021;17,06;15,85;17,8;15,67;3,30M;4,95%
26.10.2021;16,28;16,96;17,46;16,23;2,20M;-4,57%
27.10.2021;16,34;16,28;16,96;15,67;1,99M;0,38%
28.10.2021;16,89;16,34;17,22;16,29;822,04K;3,33%
1.11.2021;16,1;16,59;16,84;15,92;1,99M;-4,69%
2.11.2021;15,46;16,08;16,1;15,29;1,49M;-3,92%
3.11.2021;15,08;15,37;15,98;14,61;1,81M;-2,48%
4.11.2021;15,45;15,08;15,85;14,78;1,26M;2,46%
5.11.2021;15,48;15,41;15,6;15,11;883,29K;0,16%
8.11.2021;16,39;15,37;16,88;15,3;10,78M;5,92%
9.11.2021;15,41;17,09;17,11;15,29;6,74M;-5,97%
10.11.2021;14,72;15,41;15,55;14,72;4,20M;-4,50%
11.11.2021;13,85;14,57;14,59;13,77;4,36M;-5,89%
12.11.2021;13,03;14,16;14,42;12,91;5,48M;-5,99%
15.11.2021;13,87;13,05;14,24;12,58;6,53M;6,46%
16.11.2021;12,99;13,87;13,99;12,64;4,97M;-6,34%
17.11.2021;12,88;12,95;13,5;12,69;3,86M;-0,86%
18.11.2021;12,32;12,81;12,85;12,23;4,18M;-4,31%
19.11.2021;12,36;12,32;12,75;12,15;4,27M;0,28%
22.11.2021;12,52;12,36;13,12;12,28;4,93M;1,30%
23.11.2021;12,14;12,46;12,59;11,85;4,41M;-3,03%
24.11.2021;12,51;12,13;12,77;11,91;6,88M;3,02%
25.11.2021;13,76;12,59;13,76;12,37;6,24M;10,00%
26.11.2021;15,13;14,13;15,13;14,02;9,18M;9,99%
29.11.2021;14,04;15,6;16,48;13,95;12,33M;-7,20%
30.11.2021;14,52;13,85;15,28;13,43;13,50M;3,44%
1.12.2021;14,46;14,88;15,27;14,46;6,38M;-0,43%
2.12.2021;14,54;14,49;14,98;14,31;4,10M;0,51%
3.12.2021;14,5;14,55;14,92;14,23;4,90M;-0,26%
6.12.2021;14,6;14,91;15,07;14,56;2,88M;0,68%
7.12.2021;15,08;14,96;15,87;14,75;6,73M;3,31%
8.12.2021;15,41;15,6;16,1;15,08;5,59M;2,22%
9.12.2021;14,93;15,08;15,28;14,65;3,44M;-3,13%
10.12.2021;14,72;14,92;15,2;14,49;3,76M;-1,41%
13.12.2021;14,36;14,73;14,78;14,24;3,74M;-2,44%
14.12.2021;14,44;14,36;14,85;14,24;4,05M;0,52%
15.12.2021;13,9;14,45;14,54;13,78;2,94M;-3,69%
16.12.2021;14,05;13,93;14,26;13,62;2,81M;1,07%
17.12.2021;12,65;14,07;14,29;12,65;3,99M;-9,96%
20.12.2021;12,26;12,13;13,27;11,65;4,16M;-3,13%
21.12.2021;12,81;13,1;13,25;12,08;3,73M;4,55%
22.12.2021;12,68;12,53;12,91;12,38;2,07M;-1,06%
23.12.2021;12,36;12,75;12,88;12,13;2,05M;-2,54%
24.12.2021;12,78;12,51;13,45;12,01;4,99M;3,41%
27.12.2021;13,14;12,81;13,33;12,75;3,91M;2,81%
28.12.2021;14,45;13,43;14,45;13,27;9,08M;9,99%
29.12.2021;13,41;14,94;15,14;13,32;7,74M;-7,20%
30.12.2021;13,31;13,56;13,81;13,1;4,05M;-0,74%
31.12.2021;13,2;13,37;13,45;13,12;1,52M;-0,84%
3.01.2022;13,87;13,33;13,9;13,2;4,56M;5,07%
4.01.2022;13,67;13,87;13,88;13,35;2,78M;-1,43%
5.01.2022;13,87;13,59;14,31;13,45;6,55M;1,45%
6.01.2022;13,4;13,5;13,66;13,25;3,30M;-3,39%
7.01.2022;13,64;13,46;13,74;13,4;3,19M;1,85%
10.01.2022;13,42;13,63;13,78;13,42;2,05M;-1,63%
11.01.2022;13,16;13,45;13,53;13,09;1,86M;-1,94%
12.01.2022;13,25;13,22;13,41;13;2,28M;0,66%
13.01.2022;13,1;13,12;13,33;12,85;1,84M;-1,12%
14.01.2022;13,11;13;13,25;12,98;1,44M;0,09%
17.01.2022;13,17;13,19;13,47;13,14;1,90M;0,47%
18.01.2022;12,59;13,17;13,74;12,59;5,66M;-4,42%
19.01.2022;12,85;12,68;13,07;12,59;3,11M;2,06%
